gene_id,gene_name
ENSG00000141338.14,ABCA8
ENSG00000141933.9,TPGS1
ENSG00000141994.16,DUS3L
ENSG00000142046.15,TMEM91
ENSG00000142082.15,SIRT3
ENSG00000142279.13,WTIP
ENSG00000142303.14,ADAMTS10
ENSG00000142330.20,CAPN10
ENSG00000142657.21,PGD
ENSG00000142731.11,PLK4
ENSG00000142871.18,CCN1
ENSG00000142920.17,AZIN2
ENSG00000142945.13,KIF2C
ENSG00000143106.13,PSMA5
ENSG00000143127.13,ITGA10
ENSG00000143196.5,DPT
ENSG00000143228.13,NUF2
ENSG00000143595.13,AQP10
ENSG00000143867.7,OSR1
ENSG00000143870.13,PDIA6
ENSG00000143878.10,RHOB
ENSG00000143977.14,SNRPG
ENSG00000144031.12,ANKRD53
ENSG00000144134.18,RABL2A
ENSG00000144152.13,FBLN7
ENSG00000144182.17,LIPT1
ENSG00000144229.12,THSD7B
ENSG00000144230.16,GPR17
ENSG00000144362.12,PHOSPHO2
ENSG00000144381.18,HSPD1
ENSG00000144504.15,ANKMY1
ENSG00000144554.12,FANCD2
ENSG00000144579.8,CTDSP1
ENSG00000144642.22,RBMS3
ENSG00000144655.15,CSRNP1
ENSG00000144867.13,SRPRB
ENSG00000144908.14,ALDH1L1
ENSG00000145147.20,SLIT2
ENSG00000145335.17,SNCA
ENSG00000145362.20,ANK2
ENSG00000145386.11,CCNA2
ENSG00000145708.11,CRHBP
ENSG00000145777.15,TSLP
ENSG00000146063.20,TRIM41
ENSG00000146067.16,FAM193B
ENSG00000146143.19,PRIM2
ENSG00000146410.12,MTFR2
ENSG00000146469.13,VIP
ENSG00000146556.14,WASH2P
ENSG00000146670.10,CDCA5
ENSG00000146731.11,CCT6A
ENSG00000146830.11,GIGYF1
ENSG00000146918.20,NCAPG2
ENSG00000147113.17,DIPK2B
ENSG00000147119.4,CHST7
ENSG00000147383.11,NSDHL
ENSG00000147439.13,BIN3
ENSG00000147576.17,ADHFE1
ENSG00000147649.10,MTDH
ENSG00000147669.11,POLR2K
ENSG00000147684.10,NDUFB9
ENSG00000148180.21,GSN
ENSG00000148341.18,SH3GLB2
ENSG00000148343.18,MIGA2
ENSG00000148357.16,HMCN2
ENSG00000148773.14,MKI67
ENSG00000149090.12,PAMR1
ENSG00000149124.11,GLYAT
ENSG00000149403.13,GRIK4
ENSG00000149451.18,ADAM33
ENSG00000149485.19,FADS1
ENSG00000149499.12,EML3
ENSG00000149534.9,MS4A2
ENSG00000149554.13,CHEK1
ENSG00000149564.12,ESAM
ENSG00000149575.9,SCN2B
ENSG00000150048.10,CLEC1A
ENSG00000150594.7,ADRA2A
ENSG00000150753.12,CCT5
ENSG00000150977.10,RILPL2
ENSG00000151376.17,ME3
ENSG00000151465.14,CDC123
ENSG00000151650.8,VENTX
ENSG00000151790.9,TDO2
ENSG00000152117.17,SMPD4BP
ENSG00000152154.11,TMEM178A
ENSG00000152253.9,SPC25
ENSG00000152455.16,SUV39H2
ENSG00000152467.10,ZSCAN1
ENSG00000152475.7,ZNF837
ENSG00000152578.13,GRIA4
ENSG00000152582.14,SPEF2
ENSG00000152583.12,SPARCL1
ENSG00000152779.14,SLC16A12
ENSG00000152784.16,PRDM8
ENSG00000152952.12,PLOD2
ENSG00000152953.13,STK32B
ENSG00000153253.19,SCN3A
ENSG00000153303.17,FRMD1
ENSG00000153310.19,CYRIB
ENSG00000153879.9,CEBPG
ENSG00000153902.14,LGI4
ENSG00000154016.14,GRAP
ENSG00000154027.19,AK5
ENSG00000154065.17,ANKRD29
ENSG00000154133.15,ROBO4
ENSG00000154134.15,ROBO3
ENSG00000154175.18,ABI3BP
ENSG00000154258.17,ABCA9
ENSG00000154262.13,ABCA6
ENSG00000154263.17,ABCA10
ENSG00000154330.13,PGM5
ENSG00000154582.17,ELOC
ENSG00000154721.15,JAM2
ENSG00000154839.10,SKA1
ENSG00000154920.15,EME1
ENSG00000155096.14,AZIN1
ENSG00000155275.19,TRMT44
ENSG00000155330.10,C16orf87
ENSG00000155428.12,TRIM74
ENSG00000155970.12,MICU3
ENSG00000156050.10,FAM161B
ENSG00000156261.13,CCT8
ENSG00000156298.13,TSPAN7
ENSG00000156427.8,FGF18
ENSG00000156469.9,MTERF3
ENSG00000156471.13,PTDSS1
ENSG00000156486.8,KCNS2
ENSG00000156802.13,ATAD2
ENSG00000156970.13,BUB1B
ENSG00000157110.16,RBPMS
ENSG00000157150.5,TIMP4
ENSG00000157152.17,SYN2
ENSG00000157193.18,LRP8
ENSG00000157306.14,ZFHX2-AS1
ENSG00000157456.8,CCNB2
ENSG00000157514.16,TSC22D3
ENSG00000157554.19,ERG
ENSG00000157782.9,CABP1
ENSG00000157873.17,TNFRSF14
ENSG00000158062.20,UBXN11
ENSG00000158402.20,CDC25C
ENSG00000158417.11,EIF5B
ENSG00000158473.8,CD1D
ENSG00000158863.22,FAM160B2
ENSG00000158955.11,WNT9B
ENSG00000159131.17,GART
ENSG00000159214.13,CCDC24
ENSG00000159388.6,BTG2
ENSG00000159433.12,STARD9
ENSG00000159593.15,NAE1
ENSG00000159648.11,TEPP
ENSG00000159714.12,ZDHHC1
ENSG00000159733.14,ZFYVE28
ENSG00000159761.15,C16orf86
ENSG00000159788.19,RGS12
ENSG00000160180.15,TFF3
ENSG00000160182.3,TFF1
ENSG00000160183.17,TMPRSS3
ENSG00000160226.16,CFAP410
ENSG00000160323.19,ADAMTS13
ENSG00000160396.9,HIPK4
ENSG00000160539.6,PLPP7
ENSG00000160606.11,TLCD1
ENSG00000160801.14,PTH1R
ENSG00000160888.7,IER2
